,customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood
0,32,Phd.`s Fishy,male,0,0,0,1,11783.0,13.0,12.0,1191.0,403.0,56.0,91.0,37960.0,152.0,0.0,0.0,26.0,2010,39.35671809565866,-9.3811240824615,1,0.1460783269713407,Phd,0,55,51649.0,0.2281360723344111,0.0002516989680342,0.0230594977637514,0.0078026680090611,0.0010842417084551,0.0017618927762396,0.7349609866599547,0.0029429417800925,0.0,0.0
1,163,Bsc.`s Fishy,female,0,0,1,1,15867.0,245.0,6.0,733.0,520.0,120.0,62.0,36561.0,82.0,0.0,0.0,19.0,2015,39.35727449719274,-9.38200965835641,1,0.6944724410176764,Bsc,0,72,54190.0,0.2928031002029895,0.0045211293596604,0.0135264809005351,0.009595866396014,0.0022144307067724,0.0011441225318324,0.6746816755859014,0.0015131943162945,0.0,0.0
2,211,Bsc.`s Fishy,female,0,0,0,1,15206.0,106.0,10.0,428.0,356.0,115.0,138.0,35195.0,4.0,0.0,0.0,21.0,2010,39.35732345922949,-9.380868649207969,1,0.5350248258399829,Bsc,0,75,51548.0,0.2949871963994723,0.0020563358423217,0.0083029409482424,0.0069061845270427,0.0022309303949716,0.002677116473966,0.6827616978350275,7.759757895553658e-05,0.0,0.0
3,219,Msc.`s Fishy,male,0,0,1,1,14898.0,241.0,17.0,239.0,305.0,115.0,102.0,38476.0,138.0,0.0,0.0,31.0,2021,39.35702662361633,-9.38218920697739,1,0.5584070278979467,Msc,0,26,54514.0,0.2732875958469384,0.0044208827090288,0.0043841948857174,0.005594893054995,0.0021095498404079,0.0018710789888835,0.7058003448655391,0.0025314598084895,0.0,0.0
4,245,Laura`s Fishy,female,0,0,1,1,9438.0,119.0,6.0,23.0,358.0,86.0,0.0,44169.0,190.0,0.0,0.0,41.0,2008,38.9624791789633,-9.41790725714642,1,0.2426214246783443,No Degree,0,47,54383.0,0.1735468804589669,0.0021881838074398,0.0004229262821102,0.0065829395215416,0.0015813765331077,0.0,0.8121839545446187,0.0034937388522148,0.0,0.0
5,304,Allen`s Fishy,male,0,0,1,1,15025.0,376.0,17.0,372.0,479.0,96.0,54.0,44497.0,67.0,0.0,0.0,10.0,2021,39.3569119743028,-9.380850516598445,1,0.3005724470342946,No Degree,0,26,60966.0,0.2464488403372371,0.0061673719778237,0.006101761637634,0.0078568382377062,0.0015746481645507,0.0008857395925597,0.7298658268543122,0.001098973198176,0.0,0.0
6,485,John`s Fishy,male,0,0,1,1,13027.0,36.0,7.0,313.0,232.0,75.0,33.0,35356.0,69.0,0.0,0.0,17.0,2008,39.35729215040983,-9.38096918602763,1,0.5101462491386525,No Degree,0,75,49141.0,0.2650943204248998,0.0007325858244642,0.0063694267515923,0.0047211086465476,0.0015262204676339,0.0006715370057589,0.7194806780488797,0.0014041228302232,0.0,0.0
7,498,Daniel`s Fishy,male,0,0,1,1,13536.0,363.0,17.0,20.0,249.0,80.0,40.0,38066.0,146.0,0.0,0.0,31.0,2011,39.357338573706365,-9.380872221135292,1,0.3472884807939806,No Degree,0,61,52500.0,0.2578285714285714,0.0069142857142857,0.0003809523809523,0.0047428571428571,0.0015238095238095,0.0007619047619047,0.7250666666666666,0.0027809523809523,0.0,0.0
8,637,Dianne`s Fishy,female,0,0,1,1,11689.0,143.0,17.0,39.0,241.0,140.0,87.0,34112.0,24.0,0.0,0.0,36.0,2011,38.96305341799806,-9.416967666165505,1,0.2897978564987965,No Degree,0,61,46475.0,0.2515115653577192,0.003076923076923,0.0008391608391608,0.0051855836471221,0.0030123722431414,0.0018719741796664,0.733986013986014,0.0005164066702528,0.0,0.0
9,686,Jon`s Fishy,male,0,0,1,1,11601.0,56.0,7.0,357.0,251.0,88.0,34.0,43289.0,191.0,0.0,0.0,28.0,2021,38.96268475750343,-9.417008818366442,1,0.5933718670470995,No Degree,0,25,55867.0,0.207653892279879,0.0010023806540533,0.0063901766695902,0.0044928132887035,0.0015751695992267,0.0006085882542466,0.774858145237797,0.0034188340165034,0.0,0.0
